Concat	Plate	Letter	Well
14B10	14	B	10
14B11	14	B	11
14B12	14	B	12
14C1	14	C	1
14C2	14	C	2
14C3	14	C	3
14C4	14	C	4
14C5	14	C	5
14C6	14	C	6
14C7	14	C	7
14C8	14	C	8
14C9	14	C	9
14C10	14	C	10
14C11	14	C	11
14C12	14	C	12
14D1	14	D	1
14D2	14	D	2
14D3	14	D	3
14D4	14	D	4
14D5	14	D	5
14D6	14	D	6
14D7	14	D	7
14D8	14	D	8
14D9	14	D	9
14D10	14	D	10
14D11	14	D	11
14D12	14	D	12
14E1	14	E	1
14E2	14	E	2
14E3	14	E	3
14E4	14	E	4
14E5	14	E	5
14E6	14	E	6
14E7	14	E	7
14E8	14	E	8
14E9	14	E	9
14E10	14	E	10
14E11	14	E	11
14E12	14	E	12
14F1	14	F	1
14F2	14	F	2
14F3	14	F	3
14F4	14	F	4
14F5	14	F	5
14F6	14	F	6
14F7	14	F	7
14F8	14	F	8
14F9	14	F	9
14F10	14	F	10
14F11	14	F	11
14F12	14	F	12
14G1	14	G	1
14G2	14	G	2
14G3	14	G	3
14G4	14	G	4
14G5	14	G	5
14G6	14	G	6
14G7	14	G	7
14G8	14	G	8
14G9	14	G	9
14G10	14	G	10
14G11	14	G	11
14G12	14	G	12
14H1	14	H	1
14H2	14	H	2
14H3	14	H	3
14H4	14	H	4
14H5	14	H	5
14H6	14	H	6
14H7	14	H	7
14H8	14	H	8
14H9	14	H	9
14H10	14	H	10
14H11	14	H	11
14H12	14	H	12
15A1	15	A	1
15A2	15	A	2
15A3	15	A	3
15A4	15	A	4
15A5	15	A	5
15A6	15	A	6
15A7	15	A	7
15A8	15	A	8
15A9	15	A	9
15A10	15	A	10
15A11	15	A	11
15A12	15	A	12
15B1	15	B	1
15B2	15	B	2
15B3	15	B	3
15B4	15	B	4
15B5	15	B	5
15B6	15	B	6
15B7	15	B	7
15B8	15	B	8
15B9	15	B	9
15B10	15	B	10
15B11	15	B	11
15B12	15	B	12
15C1	15	C	1
15C2	15	C	2
15C3	15	C	3
15C4	15	C	4
15C5	15	C	5
15C6	15	C	6
15C7	15	C	7
15C8	15	C	8
15C9	15	C	9
15C10	15	C	10
15C11	15	C	11
15C12	15	C	12
15D1	15	D	1
15D2	15	D	2
15D3	15	D	3
15D4	15	D	4
15D5	15	D	5
15D6	15	D	6
15D7	15	D	7
15D8	15	D	8
15D9	15	D	9
15D10	15	D	10
15D11	15	D	11
15D12	15	D	12
15E1	15	E	1
