"Library","Plate_index","OD"
"Cameron","P26E2",0.301
"Cameron","P26E3",0.249
"Cameron","P26E4",0.185
"Cameron","P26E5",0.386
"Cameron","P26E6",0.302
"Cameron","P26E7",0.228
"Cameron","P26E8",0.169
"Cameron","P26E9",0.244
"Cameron","P26E10",0.227
"Cameron","P26E11",0.243
"Cameron","P26F1",0.176
"Cameron","P26F2",0.511
"Cameron","P26F3",0.356
"Cameron","P26F4",0.238
"Cameron","P26F5",0.254
"Cameron","P26F6",0.085
"Cameron","P26F7",0.114
"Cameron","P26F8",0.261
"Cameron","P26F9",0.314
"Cameron","P26F10",0.164
"Cameron","P26F11",0.175
"Cameron","P26F12",0.117
"Cameron","P26G1",0.364
"Cameron","P26G2",0.24
"Cameron","P26G3",0.399
"Cameron","P26G4",0.277
"Cameron","P26G5",0.244
"Cameron","P26G6",0.222
"Cameron","P26G7",0.459
"Cameron","P26G8",0.308
"Cameron","P26G9",0.252
"Cameron","P26G10",0.264
"Cameron","P26G11",0.162
"Cameron","P26H1",0.189
"Cameron","P26H2",0.174
"Cameron","P26H3",0.169
"Cameron","P26H4",0.241
"Cameron","P26H5",0.137
"Cameron","P26H6",0.184
"Cameron","P26H7",0.247
"Cameron","P26H8",0.23
"Cameron","P26H9",0.204
"Cameron","P26H11",0.152
